ticket_id,ticket_code,ticket_number,ticket_display,event_name,event_date,event_date_text,location,ticket_category,ticket_type,table_number,seat_number,guest_name,display_name,table_line,purchaser_name,purchaser_email,purchaser_phone,price,table_price,payment_status,bracelet_type,ticket_status,checked_in,checked_in_at,checked_in_by,scan_count,last_scanned_at,qr_payload,notes,print_file
AADS-TOC-20260725-VIP-T01-S01-001,AADS-TOC-20260725-VIP-T01-S01-001,VIP-001,TICKET 01/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PHARMACHOICE COMP VIP,1,1,Corey O'Brien,Corey & Jennifer O'Brien + PharmaChoice Business Partners,Amherst PharmaChoice VIP Table - Complimentary,Amherst PharmaChoice,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T01-S01-001,Complimentary Amherst PharmaChoice sponsor VIP table,VIP_001.jpg
AADS-TOC-20260725-VIP-T01-S02-002,AADS-TOC-20260725-VIP-T01-S02-002,VIP-002,TICKET 02/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PHARMACHOICE COMP VIP,1,2,Jennifer O'Brien,Corey & Jennifer O'Brien + PharmaChoice Business Partners,Amherst PharmaChoice VIP Table - Complimentary,Amherst PharmaChoice,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T01-S02-002,Complimentary Amherst PharmaChoice sponsor VIP table,VIP_002.jpg
AADS-TOC-20260725-VIP-T01-S03-003,AADS-TOC-20260725-VIP-T01-S03-003,VIP-003,TICKET 03/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PHARMACHOICE COMP VIP,1,3,PharmaChoice Business Partner,Corey & Jennifer O'Brien + PharmaChoice Business Partners,Amherst PharmaChoice VIP Table - Complimentary,Amherst PharmaChoice,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T01-S03-003,Complimentary Amherst PharmaChoice sponsor VIP table,VIP_003.jpg
AADS-TOC-20260725-VIP-T01-S04-004,AADS-TOC-20260725-VIP-T01-S04-004,VIP-004,TICKET 04/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PHARMACHOICE COMP VIP,1,4,PharmaChoice Business Partner,Corey & Jennifer O'Brien + PharmaChoice Business Partners,Amherst PharmaChoice VIP Table - Complimentary,Amherst PharmaChoice,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T01-S04-004,Complimentary Amherst PharmaChoice sponsor VIP table,VIP_004.jpg
AADS-TOC-20260725-VIP-T01-S05-005,AADS-TOC-20260725-VIP-T01-S05-005,VIP-005,TICKET 05/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PHARMACHOICE COMP VIP,1,5,PharmaChoice Business Partner,Corey & Jennifer O'Brien + PharmaChoice Business Partners,Amherst PharmaChoice VIP Table - Complimentary,Amherst PharmaChoice,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T01-S05-005,Complimentary Amherst PharmaChoice sponsor VIP table,VIP_005.jpg
AADS-TOC-20260725-VIP-T01-S06-006,AADS-TOC-20260725-VIP-T01-S06-006,VIP-006,TICKET 06/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PHARMACHOICE COMP VIP,1,6,PharmaChoice Business Partner,Corey & Jennifer O'Brien + PharmaChoice Business Partners,Amherst PharmaChoice VIP Table - Complimentary,Amherst PharmaChoice,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T01-S06-006,Complimentary Amherst PharmaChoice sponsor VIP table,VIP_006.jpg
AADS-TOC-20260725-VIP-T02-S01-007,AADS-TOC-20260725-VIP-T02-S01-007,VIP-007,TICKET 07/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,CGC COMP VIP,2,1,Cecil Dow,Cecil & Connie Dow - CGC Darts VIP Table,CGC Darts Complimentary VIP Table,CGC Darts,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T02-S01-007,Complimentary CGC Darts VIP table,VIP_007.jpg
AADS-TOC-20260725-VIP-T02-S02-008,AADS-TOC-20260725-VIP-T02-S02-008,VIP-008,TICKET 08/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,CGC COMP VIP,2,2,Connie Dow,Cecil & Connie Dow - CGC Darts VIP Table,CGC Darts Complimentary VIP Table,CGC Darts,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T02-S02-008,Complimentary CGC Darts VIP table,VIP_008.jpg
AADS-TOC-20260725-VIP-T02-S03-009,AADS-TOC-20260725-VIP-T02-S03-009,VIP-009,TICKET 09/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,CGC COMP VIP,2,3,Tanya Holland,Cecil & Connie Dow - CGC Darts VIP Table,CGC Darts Complimentary VIP Table,CGC Darts,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T02-S03-009,Complimentary CGC Darts VIP table,VIP_009.jpg
AADS-TOC-20260725-VIP-T02-S04-010,AADS-TOC-20260725-VIP-T02-S04-010,VIP-010,TICKET 10/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,CGC COMP VIP,2,4,Dawn Leblanc,Cecil & Connie Dow - CGC Darts VIP Table,CGC Darts Complimentary VIP Table,CGC Darts,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T02-S04-010,Complimentary CGC Darts VIP table,VIP_010.jpg
